区域,楼盘名称,总价,面积,单价
东城,和平里七区满五年央产双南向两居,682万,50.65平米,"134,650元/平"
东城,和平里三区 1室1厅 南 北,645万,43.69平米,"147,632元/平"
东城,和平里中街3号院 2006年建成 有地下车库 管理严格,1380万,106.98平米,"128,997元/平"
东城,和平里交林两居室南北向满五年唯一,703万,54.2平米,"129,705元/平"
东城,和平里北街丙14号  南北通透三居室  民族出版社分房,1300万,115.52平米,"112,535元/平"
东城,和平里北街丙14号 民族出版社分房年代新，交通便利,1118万,91.98平米,"121,549元/平"
东城,商务部家属院 东交民巷 东单 全南两居室，满五年唯一,636万,49.79平米,"127,737元/平"
东城,国瑞城东区，南向一居室，次顶层，落地窗，采光无挡,659万,61.78平米,"106,669元/平"
东城,国瑞城中区  高层 南向一居室,633万,58.67平米,"107,892元/平"
东城,国瑞城高层南北三居室 地铁崇文门站,1699万,157.42平米,"107,928元/平"
东城,地坛北里 正规两居室 精装修 拎包入住,738万,56.9平米,"129,702元/平"
东城,夕照寺西里满五年唯一，南北格局，视野采光充足，,480万,38.97平米,"123,172元/平"
东城,外交部街33号院 低楼层 满五年 前后无遮挡 闹中取静,1300万,82.41平米,"157,748元/平"
东城,天坛东门  长青园  南北通透 采光好,540万,54.6平米,"98,902元/平"
东城,太华公寓B座小区房源经纪人点评,725万,104.38平米,"69,458元/平"
东城,安交 美术馆后街 电梯直达 诚意出售,705万,56.26平米,"125,312元/平"
东城,安定门外大街一居室带电梯，三环内，正对花园。,540万,46.83平米,"115,311元/平"
东城,富贵园1居室中间楼层，小区人车分流距离地铁100米，,648万,63.74平米,"101,664元/平"
东城,富贵园一区小洋房，中高楼层全明格局采光好，无遮挡,1330万,87.94平米,"151,240元/平"
东城,富贵园三区，西向两居室，采光好，无遮挡。,760万,81.59平米,"93,149元/平"
东城,小黄庄1区  高楼层双朝南精装两居,784万,72.44平米,"108,228元/平"
东城,崇文门 广渠门 东花市 商品房满五唯一,759万,81.56平米,"93,061元/平"
东城,崇文门东大街高楼层电梯房南北通透两居室,605万,59.97平米,"100,884元/平"
东城,崇文门国瑞城中区南北三居，前后观景，双明卫，有钥匙,2230万,186.63平米,"119,488元/平"
东城,常闻天坛龙吟声，二环从此住进来 满五年唯一二环里,520万,65.52平米,"79,366元/平"
东城,幸福家园三期，对花园，明厨明卫，满五年家庭唯一住房,1568万,129.67平米,"120,923元/平"
东城,广渠门 东环居苑 商品小区 西南两居室,790万,75.71平米,"104,346元/平"
东城,广渠门内大街 不临街 交通方便,655万,63.93平米,"102,456元/平"
东城,广渠门内大街 户型方正三居室 采光好,790万,79.4平米,"99,497元/平"
东城,广渠门内大街两居室满五年唯一诚心出售,623万,60.38平米,"103,180元/平"
东城,广渠门忠实里 三居室 东南向 有电梯采光好,720万,82.2平米,"87,592元/平"
东城,广渠门桥 金世纪嘉园西南两居室出售,850万,108.11平米,"78,624元/平"
东城,忠实里东区 中间层 带电梯 商品房,632万,57.71平米,"109,514元/平"
东城,房子南北通透，满五年唯一住房，中间楼层视野开阔。,899万,77.02平米,"116,723元/平"
东城,房本满五年唯一央产房 业主卖房也是换房诚心出售,699万,56.55平米,"123,608元/平"
东城,新上电梯房，二环里，龙潭湖，采光好！,550万,61.3平米,"89,723元/平"
东城,新景家园东区 全凸南向一居室 满五年唯一 随时看,765万,59.65平米,"128,249元/平"
东城,新景家园东区 商品房 东西三居室 满五年唯一,1160万,88.45平米,"131,148元/平"
东城,新景家园东区，南北通透两居室，地铁2.5.7号线沿线。,885万,82.41平米,"107,390元/平"
东城,日化家属院 东北三居 电梯直达,735万,74.58平米,"98,552元/平"
东城,明厨明卫，精装修，满五唯一，不临街,1080万,90.15平米,"119,801元/平"
东城,普渡寺 东西通透 精装 小户型复式一居 长安街,820万,56.16平米,"146,012元/平"
东城,朝内大街  精装修 南北东通透两居室 中间楼层随时签约,690万,63.88平米,"108,016元/平"
东城,朝内大街203号院 高楼 电梯直达 东南向三居  明厨明卫,985万,75.42平米,"130,602元/平"
东城,朝阳门  南北通透的四居室  业主诚意出售 随时签约,2390万,247.09平米,"96,726元/平"
东城,朝阳门内 竹杆胡同 南北通透两居室,810万,68.25平米,"118,682元/平"
东城,朝阳门北小街 低楼层南北通透两居室 收钥匙随时看房,905万,67.96平米,"133,167元/平"
东城,本家润园C区  视野好  临地铁  两居室  配套成熟,720万,70.22平米,"102,535元/平"
东城,板厂南里  低楼层 南北通透 满五年唯一 不临街,590万,50.04平米,"117,906元/平"
东城,板厂南里全南两居室，业主诚心出售,547万,49.73平米,"109,994元/平"
东城,桃条胡同满五年唯一跃层南北两居室,640万,44.74平米,"143,049元/平"
东城,此房满五年，家庭一套住房，业主诚心出售，无遮挡,650万,61.8平米,"105,178元/平"
东城,民安小区东直门北中街 南北通透 无遮挡 低楼层两居室,830万,74.81平米,"110,948元/平"
东城,沙滩后街55号院 南北通透  精装修两居室 满五唯一,780万,56.91平米,"137,059元/平"
东城,海晟名苑北区西向开间，视野无遮挡，精装修拎包入住,530万,46平米,"115,218元/平"
东城,海运仓 满五唯一，全南格局，楼层好，采光充足，,815万,64.52平米,"126,318元/平"
东城,海运仓小区环境好，商品房满五唯一，诚心出售,1070万,88.93平米,"120,320元/平"
东城,海运仓规整社区 三室两卫复式带电梯 南北朝向采光好,1150万,95.18平米,"120,824元/平"
东城,清水苑社区 东西向明厨明卫 满五年唯一商品房,765万,81.51平米,"93,854元/平"
东城,满五唯一，贷款和全款都合适，南北两居室全明格局,475万,50.77平米,"93,560元/平"
东城,灯市口大街 南北通透两居室，电梯直达,885万,68.82平米,"128,597元/平"
东城,琉璃井东街 2室1厅 南 北,486万,54.65平米,"88,930元/平"
东城,电梯直达，采光无遮挡，产权清晰，精装修，随时签约,580万,55.87平米,"103,813元/平"
东城,禄米仓胡同，次顶层南北正规两居室，产权清晰，可签约,990万,73.6平米,"134,511元/平"
东城,竹杆胡同：低楼层满五年优质房源,795万,68.25平米,"116,484元/平"
东城,菊儿胡同 4室1厅 南 北,1430万,92.35平米,"154,846元/平"
东城,西革新里124号 2室1厅 东 西,430万,57.38平米,"74,940元/平"
东城,豆瓣胡同，电梯直达，精装修，采光好，视野开阔,940万,71.44平米,"131,579元/平"
东城,豆瓣西区，满五唯一，南北通透，高层电梯房,950万,70.83平米,"134,124元/平"
东城,都市馨园 满五年唯一 带阳台 朝南 不临街,445万,36.7平米,"121,254元/平"
东城,金桥国际此房满五唯一，配套设施齐全，交通便利,470万,47.99平米,"97,938元/平"
东城,长青园小区 低楼层 南北通透 采光好,535万,53.08平米,"100,792元/平"
东城,青年湖东里 南北通透 无遮挡 诚意出售 看房方便,1360万,122.48平米,"111,039元/平"
东城,青年湖东里 满五年 青年湖公园 房主诚意卖,514万,39.71平米,"129,439元/平"
东城,青年湖公园，中间楼层，满五年唯一两居室,768万,57.91平米,"132,620元/平"
东城,高层正南向一居 户型方正 近地铁 诚意出售 采光充足,768万,61.59平米,"124,696元/平"
东城,高楼层，户型方正，南向，房本满五年家庭名下唯一,643万,60.84平米,"105,688元/平"
东城,鼓楼 六铺炕 朝东 正规两居室 方便看房,638万,53.49平米,"119,275元/平"
东城,龙体区域 全南向小两居 满五年唯一商本 中间层 无遮挡,600万,52.17平米,"115,009元/平"
东城,龙潭湖 龙潭北里小区 规整社区 配套齐全全南向三居室,630万,65.37平米,"96,375元/平"
朝阳,10号院低楼层三居室 南北通透 无遮挡,400万,68.86平米,"58,089元/平"
朝阳,6号线 十里堡 南北通透两居 交通便利 看房方便,308万,58.26平米,"52,867元/平"
朝阳,万豪国际公寓 北向 正规一居室,475万,69.22平米,"68,622元/平"
朝阳,三元桥，满五唯一，全明格局低楼层两居室,408万,57.83平米,"70,552元/平"
朝阳,上京新航线 2室1厅 东北,799万,83.06平米,"96,196元/平"
朝阳,上观二期高层观景三居，通透全明格局，装修好可拎包住,1650万,184.36平米,"89,499元/平"
朝阳,东一时区满五年唯一，全明格局2居有地铁看房方便,449万,85.11平米,"52,756元/平"
朝阳,东三环双井东院 南北通透三居室 看房随时,550万,76.37平米,"72,018元/平"
朝阳,东南北三面采光，正看园林湖景，明厨双明卫，只有契税,1790万,175.16平米,"102,193元/平"
朝阳,东南向loft，满五年家庭一套，精装修，视野采光好,479万,52.72平米,"90,858元/平"
朝阳,东四环外，东向中高层大两居，满五唯一,550万,103.62平米,"53,079元/平"
朝阳,东西通透 居家装修 带电梯 满五年一套住房 近鸟巢,596万,83.43平米,"71,438元/平"
朝阳,中和家园 3室2厅 西 东,760万,100.57平米,"75,570元/平"
朝阳,中海安德鲁斯庄园东区 大联排 北入户 南花园有挑空,1800万,342.79平米,"52,511元/平"
朝阳,主卧观景拐角大阳台  客厅落地阳台直视小区梵高广场,708万,115.25平米,"61,432元/平"
朝阳,丽都高家园东南高层观景两居室，业主诚心出售,408万,63.06平米,"64,701元/平"
朝阳,二期西南正规二居 集中供暖 采光好 视野佳,762万,95.61平米,"79,699元/平"
朝阳,亚运花园 满五唯一 东南大两居 双卫,782万,113.66平米,"68,802元/平"
朝阳,京通苑 2003年建成 落地阳台,390万,86.22平米,"45,234元/平"
朝阳,京通苑南向三居 高层无遮挡 看房方便,750万,195.78平米,"38,309元/平"
朝阳,住欣家园 此房是满五年的商品房 空置 看房随时,405万,68.91平米,"58,773元/平"
朝阳,光熙门北里双南两居室中间层诚意出售,490万,60.21平米,"81,382元/平"
朝阳,公园1872小区 西南向两居 低楼层 看房方便,1210万,143.58平米,"84,274元/平"
朝阳,公安局宿舍 2室2厅 东南,590万,87.8平米,"67,199元/平"
